Id,GeoID,Geography,Estimate; Total,Margin of Error; Total
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",2286,478
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",1601,326
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",1125,300
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",2199,363
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",1305,277
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",3003,579
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",3601,578
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",1111,293
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",2012,316
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",1380,325
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",945,266
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",945,269
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",977,295
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",933,262
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",1726,363
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",1388,261
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",1755,256
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",2154,302
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",1072,343
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",944,341
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",903,248
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",2298,419
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",1244,331
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",1778,225
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",1008,251
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",1309,408
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",781,254
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",1299,441
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",743,311
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",982,294
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",2107,367
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",2074,528
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",1852,353
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",1620,329
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",1629,307
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",1388,489
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",988,321
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",484,211
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",1185,383
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",2652,544
1500000US060371041031,060371041031,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",2170,443
1500000US060371041032,060371041032,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",1403,266
1500000US060371041051,060371041051,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",1593,364
1500000US060371041052,060371041052,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",4078,497
1500000US060371041081,060371041081,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",2239,523
1500000US060371041082,060371041082,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",2169,575
1500000US060371041083,060371041083,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",987,343
1500000US060371041241,060371041241,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",1783,422
1500000US060371041242,060371041242,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",1949,574
1500000US060371041243,060371041243,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",546,203
1500000US060371042011,060371042011,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",1372,484
1500000US060371042012,060371042012,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",2327,522
1500000US060371042013,060371042013,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",998,332
1500000US060371042031,060371042031,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",2508,482
1500000US060371042032,060371042032,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",2104,401
1500000US060371042041,060371042041,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",1593,407
1500000US060371042042,060371042042,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",2035,491
1500000US060371043101,060371043101,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",1420,389
1500000US060371043102,060371043102,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",1756,353
1500000US060371043103,060371043103,"Block Group 3, Census Tract 1043.10, Los Angeles County, California",1549,449
1500000US060371043201,060371043201,"Block Group 1, Census Tract 1043.20, Los Angeles County, California",2740,823
1500000US060371043202,060371043202,"Block Group 2, Census Tract 1043.20, Los Angeles County, California",1778,992
1500000US060371043203,060371043203,"Block Group 3, Census Tract 1043.20, Los Angeles County, California",534,365
1500000US060371043204,060371043204,"Block Group 4, Census Tract 1043.20, Los Angeles County, California",731,421
1500000US060371044011,060371044011,"Block Group 1, Census Tract 1044.01, Los Angeles County, California",1394,435
1500000US060371044012,060371044012,"Block Group 2, Census Tract 1044.01, Los Angeles County, California",1896,293
1500000US060371044031,060371044031,"Block Group 1, Census Tract 1044.03, Los Angeles County, California",2042,607
1500000US060371044032,060371044032,"Block Group 2, Census Tract 1044.03, Los Angeles County, California",1226,314
1500000US060371044041,060371044041,"Block Group 1, Census Tract 1044.04, Los Angeles County, California",925,272
1500000US060371044042,060371044042,"Block Group 2, Census Tract 1044.04, Los Angeles County, California",1866,326
1500000US060371045001,060371045001,"Block Group 1, Census Tract 1045, Los Angeles County, California",725,320
1500000US060371045002,060371045002,"Block Group 2, Census Tract 1045, Los Angeles County, California",2345,517
1500000US060371046101,060371046101,"Block Group 1, Census Tract 1046.10, Los Angeles County, California",2357,358
1500000US060371046102,060371046102,"Block Group 2, Census Tract 1046.10, Los Angeles County, California",1197,335
1500000US060371046201,060371046201,"Block Group 1, Census Tract 1046.20, Los Angeles County, California",1084,251
1500000US060371046202,060371046202,"Block Group 2, Census Tract 1046.20, Los Angeles County, California",2318,412
1500000US060371047011,060371047011,"Block Group 1, Census Tract 1047.01, Los Angeles County, California",1281,460
1500000US060371047012,060371047012,"Block Group 2, Census Tract 1047.01, Los Angeles County, California",1854,526
1500000US060371047013,060371047013,"Block Group 3, Census Tract 1047.01, Los Angeles County, California",973,303
1500000US060371047031,060371047031,"Block Group 1, Census Tract 1047.03, Los Angeles County, California",1138,319
1500000US060371047032,060371047032,"Block Group 2, Census Tract 1047.03, Los Angeles County, California",962,245
1500000US060371047041,060371047041,"Block Group 1, Census Tract 1047.04, Los Angeles County, California",4095,437
1500000US060371048101,060371048101,"Block Group 1, Census Tract 1048.10, Los Angeles County, California",1531,784
1500000US060371048102,060371048102,"Block Group 2, Census Tract 1048.10, Los Angeles County, California",1200,458
1500000US060371048103,060371048103,"Block Group 3, Census Tract 1048.10, Los Angeles County, California",2519,611
1500000US060371048211,060371048211,"Block Group 1, Census Tract 1048.21, Los Angeles County, California",2481,386
1500000US060371048212,060371048212,"Block Group 2, Census Tract 1048.21, Los Angeles County, California",939,376
1500000US060371048221,060371048221,"Block Group 1, Census Tract 1048.22, Los Angeles County, California",2031,277
1500000US060371060101,060371060101,"Block Group 1, Census Tract 1060.10, Los Angeles County, California",2636,284
1500000US060371060201,060371060201,"Block Group 1, Census Tract 1060.20, Los Angeles County, California",3012,649
1500000US060371060202,060371060202,"Block Group 2, Census Tract 1060.20, Los Angeles County, California",2900,597
1500000US060371061111,060371061111,"Block Group 1, Census Tract 1061.11, Los Angeles County, California",1862,435
1500000US060371061112,060371061112,"Block Group 2, Census Tract 1061.11, Los Angeles County, California",2484,378
1500000US060371061121,060371061121,"Block Group 1, Census Tract 1061.12, Los Angeles County, California",2259,466
1500000US060371061122,060371061122,"Block Group 2, Census Tract 1061.12, Los Angeles County, California",3563,620
1500000US060371061131,060371061131,"Block Group 1, Census Tract 1061.13, Los Angeles County, California",1765,321
1500000US060371061132,060371061132,"Block Group 2, Census Tract 1061.13, Los Angeles County, California",1866,302
1500000US060371061141,060371061141,"Block Group 1, Census Tract 1061.14, Los Angeles County, California",4085,512
1500000US060371061142,060371061142,"Block Group 2, Census Tract 1061.14, Los Angeles County, California",1477,431
1500000US060371064031,060371064031,"Block Group 1, Census Tract 1064.03, Los Angeles County, California",865,331
1500000US060371064032,060371064032,"Block Group 2, Census Tract 1064.03, Los Angeles County, California",1324,490
1500000US060371064033,060371064033,"Block Group 3, Census Tract 1064.03, Los Angeles County, California",959,349
1500000US060371064051,060371064051,"Block Group 1, Census Tract 1064.05, Los Angeles County, California",1514,417
