GEOID,SUMLEVEL,ST,COUNTY,BLKGRP,Total,Male,MaleUnder5Yrs,Male5to9Yrs,Male10to14Yrs,Male15to17Yrs,Male18to19Yrs,Male20Yrs,Male21Yrs,Male22to24Yrs,Male25to29Yrs,Male30to34Yrs,Male35to39Yrs,Male40to44Yrs,Male45to49Yrs,Male50to54Yrs,Male55to59Yrs,Male60to61Yrs,Male62to64Yrs,Male65to66Yrs,Male67to69Yrs,Male70to74Yrs,Male75to79Yrs,Male80to84Yrs,Male85YrsOrOver,Female,FemaleUnder5Yrs,Female5to9Yrs,Female10to14Yrs,Female15to17Yrs,Female18to19Yrs,Female20Yrs,Female21Yrs,Female22to24Yrs,Female25to29Yrs,Female30to34Yrs,Female35to39Yrs,Female40to44Yrs,Female45to49Yrs,Female50to54Yrs,Female55to59Yrs,Female60to61Yrs,Female62to64Yrs,Female65to66Yrs,Female67to69Yrs,Female70to74Yrs,Female75to79Yrs,Female80to84Yrs,Female85YrsOrOver,COMPONENT,TRACT
15000US060371011101,150,6,37,1,2286,1090,38,69,47,78,92,23,0,33,63,63,58,141,131,50,76,28,24,8,21,33,6,0,8,1196,67,103,234,13,10,0,27,38,29,47,105,76,80,173,46,20,18,0,66,12,32,0,0,0,101110
15000US060371011102,150,6,37,2,1601,888,67,61,50,0,45,0,0,56,82,99,24,51,81,37,90,30,0,8,34,16,14,3,40,713,15,9,12,20,22,14,0,24,28,80,43,32,68,97,106,23,41,0,34,24,2,11,8,0,101110
15000US060371011103,150,6,37,3,1125,545,44,0,14,31,8,10,0,27,35,21,78,0,60,71,83,0,0,8,34,0,0,21,0,580,11,22,55,0,0,11,0,10,50,40,29,49,53,50,20,80,51,0,0,28,0,21,0,0,101110
15000US060371011221,150,6,37,1,2199,1067,45,38,47,59,26,0,25,16,99,37,65,77,79,93,125,31,43,52,9,34,8,52,7,1132,12,25,114,28,8,50,14,29,106,32,123,72,52,174,30,48,69,42,19,40,12,12,21,0,101122
15000US060371011222,150,6,37,2,1305,649,24,69,49,21,0,0,0,14,79,0,35,19,39,92,92,0,34,9,15,34,3,21,0,656,35,32,33,51,10,0,20,20,24,41,20,28,38,123,60,9,17,8,32,21,21,0,13,0,101122
15000US060371012101,150,6,37,1,3003,1549,128,46,110,115,33,44,32,86,246,120,150,81,30,138,88,24,31,11,0,7,15,14,0,1454,95,83,70,14,95,12,16,94,136,158,83,92,138,89,57,44,59,39,0,22,10,5,43,0,101210
15000US060371012102,150,6,37,2,3601,1589,156,27,101,87,0,43,0,138,275,95,33,90,188,70,78,66,53,27,0,41,8,13,0,2012,167,37,111,69,51,0,27,81,271,110,145,122,158,149,246,47,27,7,76,34,53,24,0,0,101210
15000US060371012201,150,6,37,1,1111,486,34,73,60,5,7,0,0,0,20,18,43,14,64,36,48,10,19,11,18,6,0,0,0,625,12,44,71,0,19,0,0,18,0,110,39,63,32,78,58,17,30,18,0,16,0,0,0,0,101220
15000US060371012202,150,6,37,2,2012,983,90,44,53,22,29,0,9,19,108,56,48,148,21,84,51,31,52,25,7,31,0,30,25,1029,34,49,33,28,12,0,18,62,113,77,50,71,96,56,90,57,25,19,22,20,13,43,41,0,101220
15000US060371013001,150,6,37,1,1380,603,28,0,42,34,11,0,0,19,17,37,24,0,30,95,128,0,12,16,1,42,28,21,18,777,57,15,77,11,0,0,0,32,75,67,18,20,79,107,47,22,16,14,12,53,22,7,26,0,101300
15000US060371013002,150,6,37,2,945,424,0,0,10,33,0,0,0,55,0,32,0,47,16,47,68,29,5,8,20,29,11,8,6,521,15,10,27,10,7,10,0,50,22,23,30,42,16,79,52,28,30,15,8,22,0,0,25,0,101300
15000US060371013003,150,6,37,3,945,388,0,41,17,17,0,0,0,10,68,0,19,34,50,26,41,0,0,11,3,17,18,16,0,557,0,61,0,7,0,0,0,13,165,19,30,61,0,32,50,0,23,11,11,22,14,10,28,0,101300
15000US060371013004,150,6,37,4,977,448,46,0,32,0,0,25,0,0,39,15,36,25,32,60,39,31,32,15,0,0,0,21,0,529,35,64,24,36,0,0,0,13,53,36,9,66,56,51,7,0,45,6,0,11,9,0,8,0,101300
15000US060371014001,150,6,37,1,933,395,5,19,0,49,12,0,0,0,0,16,12,20,27,71,20,44,54,0,33,5,8,0,0,538,5,5,12,25,47,10,0,11,6,30,27,52,38,36,51,24,62,56,5,0,26,10,0,0,101400
15000US060371014002,150,6,37,2,1726,763,0,6,54,25,0,0,7,10,102,86,18,63,34,115,80,28,7,32,54,27,8,7,0,963,102,0,22,44,14,0,8,57,110,37,42,79,83,96,129,9,25,25,18,13,15,10,25,0,101400
15000US060371014003,150,6,37,3,1388,677,36,13,15,52,12,9,37,0,70,58,31,60,68,29,23,14,43,18,18,17,11,15,28,711,0,30,44,19,0,0,40,22,0,0,56,54,120,43,58,32,53,13,21,54,0,34,18,0,101400
15000US060371021031,150,6,37,1,1755,740,4,49,37,43,4,7,0,44,19,71,72,16,76,0,66,77,19,17,15,58,5,12,29,1015,63,36,27,9,0,0,0,19,27,119,66,163,67,98,109,6,67,13,9,81,17,7,12,0,102103
15000US060371021041,150,6,37,1,2154,1035,35,13,0,29,83,35,30,90,78,50,50,70,43,150,96,44,20,12,11,24,55,17,0,1119,37,42,29,0,85,64,10,28,86,22,151,53,83,34,159,40,36,36,13,52,46,13,0,0,102104
15000US060371021042,150,6,37,2,1072,462,57,0,0,35,11,0,0,18,66,33,45,9,9,11,45,41,0,21,0,16,20,18,7,610,11,9,0,5,0,0,6,57,13,56,18,14,132,0,109,0,30,0,0,27,45,71,7,0,102104
15000US060371021051,150,6,37,1,944,401,19,18,22,13,22,0,16,0,27,45,75,15,11,23,66,0,0,0,15,0,0,14,0,543,25,56,26,25,10,6,0,31,24,96,18,21,0,44,60,18,0,14,55,14,0,0,0,0,102105
15000US060371021052,150,6,37,2,903,526,8,16,31,15,33,29,3,5,81,50,62,36,3,68,0,0,4,5,0,43,19,0,15,377,42,14,14,4,0,0,0,3,63,71,32,32,15,4,70,0,8,0,0,5,0,0,0,0,102105
15000US060371021071,150,6,37,1,2298,1256,83,147,95,73,22,7,18,38,44,80,0,29,66,195,57,29,43,42,54,18,92,24,0,1042,56,60,46,105,13,16,0,27,92,45,26,81,68,119,95,32,16,33,32,25,34,6,15,0,102107
