GEOID,SUMLEVEL,SUMLEVEL,ST,COUNTY,BLKGRP,B01003_001E,Total,WhiteAlone,BlackOrAfricanAmerican,AmericanIndian,AsianAlone,NativeHawiian,OtherRaceAlone,TwoOrMore,COMPONENT,NAME,STUSAB,BTTR,BTBG,TRACT
15000US060371011101,150,150,6,37,1,2286,2286,1691,18,0,194,0,290,93,0,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",CA,null,null,101110
15000US060371011102,150,150,6,37,2,1601,1601,1009,18,7,147,0,379,41,0,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",CA,null,null,101110
15000US060371011103,150,150,6,37,3,1125,1125,940,8,0,86,0,91,0,0,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",CA,null,null,101110
15000US060371011221,150,150,6,37,1,2199,2199,1431,0,6,378,0,200,184,0,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",CA,null,null,101122
15000US060371011222,150,150,6,37,2,1305,1305,1049,30,0,89,0,54,83,0,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",CA,null,null,101122
15000US060371012101,150,150,6,37,1,3003,3003,1877,156,0,127,0,765,78,0,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",CA,null,null,101210
15000US060371012102,150,150,6,37,2,3601,3601,2444,179,0,96,0,754,128,0,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",CA,null,null,101210
15000US060371012201,150,150,6,37,1,1111,1111,697,8,0,111,0,240,55,0,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",CA,null,null,101220
15000US060371012202,150,150,6,37,2,2012,2012,1424,95,17,180,0,172,124,0,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",CA,null,null,101220
15000US060371013001,150,150,6,37,1,1380,1380,1221,0,5,93,0,60,1,0,"Block Group 1, Census Tract 1013, Los Angeles County, California",CA,null,null,101300
15000US060371013002,150,150,6,37,2,945,945,748,28,0,169,0,0,0,0,"Block Group 2, Census Tract 1013, Los Angeles County, California",CA,null,null,101300
15000US060371013003,150,150,6,37,3,945,945,690,0,0,19,0,223,13,0,"Block Group 3, Census Tract 1013, Los Angeles County, California",CA,null,null,101300
15000US060371013004,150,150,6,37,4,977,977,959,0,0,18,0,0,0,0,"Block Group 4, Census Tract 1013, Los Angeles County, California",CA,null,null,101300
15000US060371014001,150,150,6,37,1,933,933,797,0,0,0,0,60,76,0,"Block Group 1, Census Tract 1014, Los Angeles County, California",CA,null,null,101400
15000US060371014002,150,150,6,37,2,1726,1726,1270,110,28,108,0,174,36,0,"Block Group 2, Census Tract 1014, Los Angeles County, California",CA,null,null,101400
