id,county,city,name,location,address,street,cross_st_1,cross_st_2,zip,month_open,month_closed,days,frequency,hour_open,hour_closed,manager,phone,association_name,offers_ebt,offers_market_match,offers_WIC_FMNP,offers_WIC_FVC,website,email,latitude,longitude,mm_max,mm_start,mm_end,site_type,offers_f5
165,Los Angeles ,Los Angeles,Vermont Village CDU Farmers' Market,Crenshaw Christian Center ,7901,S Vermont Ave,W 79th St,W 78 St,90044,Year Round,,Sunday,,10:00:00,14:00:00,Cynthia Davis,3235639309,Charles Drew University,1,1,1,0,https://www.soilmate.com/markets/vermont-villagecdu-farmers-market,cynthiadavis@cdrewu.edu,33.96821,-118.29266,,,,,1
166,Los Angeles ,Long Beach,CSULB Farmers' Market ,California State University Long Beach,1250,Bellflower Blvd ,Palo Verde Ave,,90840,Year Round ,,Wednesday,Bi-monthly,10:00:00,14:00:00,Nick Spano,3233786818,City Farm,1,0,0,0,http://www.lacityfarm.com/about-city-farm/,,33.785423,-118.119799,,,,,
167,Los Angeles,Santa Monica,Santa Monica Main Street Farmers' Market,,2640,Main St,Ocean Park Blvd,,90405,Year Round,,Sunday,,09:30:00,13:00:00,Jodi Low,3104588712,City of Santa Monica,1,0,1,0,http://www.smgov.net/portals/farmersmarket/,laura.avery@smgov.net; jodi.low@smgov.net,34.0014683,-118.4833285,,,,,
168,Los Angeles,Santa Monica,Santa Monica Saturday Downtown Farmers' Market,,300,Arizona Ave,3rd St Promenade,,90401,Year Round,,Saturday,,08:30:00,13:00:00,Mort Bernstein/Laura Avery/Darra Henigan,3104588712,City of Santa Monica,1,0,1,0,http://www.smgov.net/portals/farmersmarket/,laura.avery@smgov.net,34.0170227,-118.4976073,,,,,
169,Los Angeles,Santa Monica,Santa Monica Wednesday Downtown ,,200,Arizona Ave,2nd St ,,90401,Year Round,,Wednesday,,08:30:00,13:30:00,Laura Avery,3104588712,City of Santa Monica,1,0,1,0,http://www.smgov.net/portals/farmersmarket/,,34.0162045,-118.4986105,,,,,
170,Los Angeles,Torrance,Torrance Certified Farmers' Market - Saturday,,2400,Jefferson St,Crenshaw,Jefferson,90501,Year Round,,Saturday,,08:00:00,13:00:00,Joyce Chan,3107817520,City of Torrance,0,0,0,0,http://www.torranceca.gov/6620.htm,jchan@torranceca.gov,33.827116,-118.327493,,,,,
171,Los Angeles,Torrance,Torrance Certified Farmers' Market,,2400,Crenshaw Blvd,Carson,Sepulveda,90503,Year Round,,Tuesday,,08:00:00,13:00:00,Joyce Chan,3107817520,City of Torrance,0,0,0,0,http://www.torranceca.gov/6620.htm,jchan@torranceca.gov,33.827116,-118.327493,,,,,
172,Los Angeles,Los Angeles,Eagle Rock CFM,,2100,Merton Ave,Merton Ave,Casper Ave,90041,Year Round,,Friday,,17:00:00,20:00:00,Michael Noguiera,3232255466,Eagle Rock Chamber of Commerce,0,0,0,0,http://www.eaglerockchamberofcommerce.com/#!farmers-market/c7qs,,34.13941,-118.210946,,,,,
173,Los Angeles,Northridge,Northridge Farmers Market & Family Festival,Northridge Fashion Center in front of Borders Bookstore,9301,Tampa Ave,Pummer St,,91324,March,November,Wednesday,,17:00:00,21:00:00,Mark Rochin,8056436458,"Farmers' Market of Channel Islands, Harbor, Inc.",0,0,1,0,http://coastalpacific.info/northridge.php,pacific209@hotmail.com,34.2391367,-118.5536313,,,,,
174,Los Angeles,Canoga Park,Main Street Canoga Park CFM,Between Wyandotte St & Sherman Way,7248,Owensmouth Ave,Owensmouth Ave,Sherman Way,91303,Year Round,,Saturday,,09:00:00,13:30:00,Mark Rochin/Siri Bussarkum/Peggy Bull,8056436458,"Farmers' Market of Channel Islands, Harbor, Inc.",1,0,1,1,http://www.mainstreetcanogapark.com/farmersmarket.php,pacific209@hotmail.com,34.201238,-118.601561,,,,,
